"The best sales to shop today: Samsung, Eight Sleep, Madewell and more",2021-04-07T15:18:41Z,0.91,The best sales,to shop,today more
Finding the PS5 is a nightmare \xe2\x80\x94 here's how to actually have a chance,2021-03-09T19:28:26Z,0.92,Finding the PS,is,a nightmare
Amazon is on edge over Alabama union vote,2021-04-04T14:08:26Z,0.95,Amazon,is,on edge over Alabama union vote
Huggies diapers and Scott toilet paper may soon get more expensive,2021-03-31T16:52:33Z,0.85,Scott toilet paper,may get,more expensive
"The best sales to shop today: Jabra, Case-Mate, Roomba and more",2021-03-31T15:12:07Z,0.93,The best sales,to shop,Roomba
Toxic chemical 'Hall of Shame' calls out major retailers for failing to act,2021-03-30T04:04:30Z,0.94,Toxic chemical 'Hall of Shame,calls out,major retailers
Nashville declares emergency after deadly flash flooding,2021-03-28T07:31:26Z,0.92,Nashville,declares,emergency after deadly flash flooding
"The best sales to shop this weekend: Adidas, Macy's, Instant Pot and more",2021-03-26T15:49:39Z,0.93,The best sales,to shop,this Adidas
"Police still don't know why a gunman killed 12 people in Virginia Beach in 2019, a new report says",2021-03-25T15:49:07Z,0.95,Police,do n't know,why a gunman killed  people in Virginia Beach in
Amazon was supposed to kill Instacart. Instead Instacart became a mini-Amazon,2021-03-23T11:57:27Z,0.92,Amazon,to kill,Instacart
Stocks bounce higher after Fed holds off on rate hikes,2021-03-16T12:58:22.673Z,0.86,Fed,holds off,on rate hikes
The new Nest Hub is here \xe2\x80\x94 and it can track your sleep,2021-03-16T13:02:37Z,0.88,The new Nest Hub,is,here
"Rosalind Brewer officially takes the helm at Walgreens, becoming the only Black woman Fortune 500 CEO",2021-03-15T13:04:42Z,0.93,Rosalind Brewer,officially takes,the helm
Jerome Powell can't take his eyes off the job market,2021-03-14T13:08:31Z,0.89,Jerome Powell,ca n't take,his eyes
CVS expands Covid-19 vaccine to 12 more states,2021-03-11T16:34:16Z,1.0,CVS,expands,vaccine
Walmart adds more Beyond Meat products,2021-03-09T17:16:18Z,0.94,Walmart,adds,more
The role of an unexpected savior is not new to Tyler Perry,2021-03-08T18:34:01Z,0.94,The role of an unexpected savior,is not,new to Tyler Perry
"'Consider chemical hazards' in the baby foods you sell, FDA warns manufacturers",2021-03-05T19:33:40Z,0.92,the baby foods,sell,you
"Beto O'Rourke is criss-crossing Texas, igniting Democratic hopes he'll run for governor",2021-03-05T18:55:47Z,0.85,Beto O'Rourke,igniting,Democratic hopes he'll run for governor
"The best sales to shop this weekend: Overstock, Columbia, Converse and more",2021-03-05T17:30:36Z,0.93,The best sales,to shop,Converse
Grocery stores' pandemic boom is over,2021-03-04T17:58:40Z,0.89,Grocery stores' pandemic boom,is,over
Everything you need to know about the debate over the $15 minimum wage,2021-02-22T12:01:38Z,0.82,Everything,to know,you
"Costco raises its minimum wage above rivals like Amazon, Target and Best Buy",2021-02-25T15:37:19Z,0.88,Costco,raises,its minimum wage above rivals like Best Buy
"When a woman lost her wallet in a store, a good Samaritan drove to her home to return it",2021-02-24T17:23:23Z,0.94,a good Samaritan,drove,to her home
Security cam footage shows man return lost wallet,2021-02-25T13:38:47Z,0.93,Security cam footage,shows,man return
Instacart is moving beyond the grocery store,2021-02-23T18:26:08Z,0.93,Instacart,is moving,beyond the grocery store
"One week into distribution, pharmacies have a familiar request: 'We just need more vaccines'",2021-02-19T11:59:54Z,0.87,pharmacies,have,a familiar request
5 questions that need answers at the GameStop hearing,2021-02-18T13:03:46Z,0.9,questions,need,answers at the GameStop hearing
Biden administration looks to FEMA to help combat domestic terrorism in wake of Capitol attack,2021-02-18T18:01:14Z,0.95,Biden administration,looks,to FEMA
"Grocery store workers have been on the front lines for a year, but they're struggling to get the Covid vaccine",2021-02-18T13:37:23Z,0.91,Grocery store workers,have been,on the front lines
Winter storm continues to hammer businesses,2021-02-17T23:43:33Z,0.89,Winter storm,to hammer,businesses
Wall Street hits the enthusiasm pause button,2021-02-16T18:38:09.056Z,0.94,Wall Street,hits,the enthusiasm pause button
A Kansas grandfather got Covid-19 in July. He's still in the hospital 7 months later,2021-02-14T18:57:33Z,0.94,A Kansas grandfather,got,Covid
Walmart promises to honor vaccine appointments after its website mistakenly allows some to register in Florida,2021-02-12T07:43:52Z,0.87,Walmart,promises mistakenly allows,some to register in Florida
"Biden administration seeks a pause on TikTok, WeChat court fights",2021-02-11T14:44:27Z,0.92,Biden administration,seeks,a pause on TikTok
Colin Kaepernick gets in on Wall Street's hottest trend,2021-02-11T04:31:16Z,0.94,Colin Kaepernick,gets in,on Wall Street's hottest trend
"More Americans say they're willing to take a Covid-19 vaccine, but supply issues remain",2021-02-10T07:43:39Z,0.91,More Americans,say,they 're willing to take a Covid   vaccine
Aldi plans to open 100 new US stores this year,2021-02-10T17:42:33Z,0.94,Aldi,plans,to open  new US stores this year
Amazon's plans for India take a hit as court battle swings in rival's favor,2021-02-09T11:13:28Z,0.94,Amazon's plans for India,take,a hit
The coronavirus pandemic is still going strong. But there's hope on the horizon,2021-02-08T11:53:50Z,0.81,The coronavirus pandemic,is going,strong
"'Definitely getting better': The United States is making vaccine progress on several fronts, and experts are encouraged",2021-02-05T08:13:22Z,0.91,The United States,is making,vaccine progress
"Leading baby food manufacturers knowingly sold products with high levels of toxic metals, a congressional investigation found",2021-02-04T18:18:15Z,0.95,Leading baby food manufacturers,sold,products with high levels of toxic metals
One of our favorite cold brew makers is on sale at Walmart,2021-01-08T15:27:10Z,0.82,One of our favorite cold brew makers,is,on sale at Walmart
Analysis: Bezos leaves behind a company that's created value but has also triggered a national reckoning,2021-02-04T12:53:34Z,0.92,Bezos,leaves,behind a company
These cities want to give grocery store workers hazard pay,2021-02-03T17:22:02Z,0.91,These cities,want,to give grocery store workers hazard pay
Amazon gets court to block $3.3 billion retail deal involving India's richest man,2021-02-03T02:13:56Z,0.94,$. billion retail deal,involving,India's richest man
Principal works overnight shifts at Walmart to help low-income students,2021-02-02T00:27:13Z,0.92,Principal,works,overnight shifts at Walmart
Walgreens taps Starbucks executive Rosalind Brewer to be its CEO,2021-01-27T01:02:47Z,0.91,Walgreens taps Starbucks executive Rosalind Brewer,to be,its CEO
What the Biden administration means for the future of Silicon Valley,2021-01-26T12:20:58Z,0.94,the Biden administration,means,for the future of Silicon Valley
Google Maps will soon display Covid-19 vaccination sites,2021-01-25T10:26:36Z,1.0,Google Maps,will display,vaccination sites
Walmart will expand Covid-19 vaccinations to more states,2021-01-22T17:34:54Z,1.0,Walmart,will expand,vaccinations
Costco is (finally) testing out curbside pickup for groceries,2021-01-21T15:57:57Z,0.88,Costco,is finally testing out,curbside pickup for groceries
"It's Inauguration Eve, and Wall Street is feeling good",2021-01-20T01:01:19Z,0.82,Wall Street,is feeling,good
Walmart CEO blames 'fiction' of fraudulent election for dividing Americans,2021-01-19T18:31:08Z,0.93,Walmart CEO,blames,fiction
The online shopping exec Walmart hired to take on Amazon is leaving,2021-01-15T16:51:37Z,0.91,The online shopping,exec,Walmart hired to take on Amazon
Circle K's owner offers $20 billion for France's biggest retailer,2021-01-13T16:50:31Z,1.0,Circle K 's owner,offers,$  billion
Stocks hold steady ahead of impeachment vote,2021-01-12T14:38:55.278Z,0.85,Stocks,hold,steady
0.88 (Republicans; voted; to overturn the election,2021-01-10T20:18:53Z),0.95,Corporate America,halts,donations
Staples offers to buy Office Depot for $2.1 billion,2021-01-11T14:30:03Z,0.89,Staples,offers to buy,Office Depot
"The best sales to shop this weekend: Best Buy, Dyson, Sur La Table and more",2021-01-08T17:37:33Z,0.93,The best sales to shop this weekend,Buy,Dyson
0.93 (El Paso teacher; dies; from Covid-19,2020-12-31T22:16:11Z),0.92,El Paso teacher,became,a national sensation
Trump administration appeals court order blocking TikTok restrictions,2020-12-29T02:10:34Z,0.92,court order,blocking,TikTok restrictions
Their communities are deserted by pharmacies. Advocates fear this will lead to inequitable vaccine access,2020-12-24T13:42:00Z,0.87,Advocates,fear,this will lead to inequitable vaccine access
Tight on cash? These credit cards charge 0% interest on purchases,2020-12-23T16:22:33Z,0.91,These credit cards,charge,interest on purchases
"Walmart contributed to the prescription opioid crisis for years, breaking the law, the Justice Department alleges",2020-12-22T22:49:40Z,0.9,Walmart,contributed,to the prescription opioid crisis
Retailers brace for a rush of last-minute shopping this weekend,2020-12-18T15:35:18Z,0.93,Retailers,brace,for a rush of lastminute shopping this weekend
"Gift cards for Starbucks, Netflix and more can save the day this holiday season",2020-12-17T16:57:25Z,0.94,Gift cards for more,can save,the day
Major CEOs signal Covid vaccine mandates could be on the way,2020-12-16T18:22:25Z,0.89,Covid vaccine mandates,could be,on the way
Oracle is moving its headquarters to Austin,2020-12-11T23:22:54Z,0.88,Oracle,is moving,its headquarters
Vaccines on horizon as virus surges through Trump country. And the political debate is as heated as ever,2020-12-10T21:54:30Z,0.94,Vaccines on horizon as virus,surges,through Trump country
How Cholula plans to get more Americans hooked on its hot sauce,2020-11-25T18:08:35Z,0.93,Cholula,plans,to get more Americans
Tight on cash? These credit cards charge 0% interest on purchases,2020-09-08T21:57:13Z,0.91,These credit cards,charge,interest on purchases
"Online grocery shopping is growing, but millions of Americans on food stamps are being left behind",2020-12-07T16:44:56Z,0.96,millions of Americans on food stamps,are being left,behind
"US government won't extend the deadline for a TikTok deal, but negotiations continue",2020-12-05T01:15:27Z,0.94,US government,wo n't extend,the deadline
Here we go again: The US could start losing jobs very soon,2020-12-04T15:46:19Z,0.9,The US,could start TZ losing,jobs
The economy is screaming out for help. Washington needs to listen,2020-12-03T19:06:33Z,0.92,The economy,to listen,Washington
Walmart scraps shipping minimum for subscription service in move to take on Amazon,2020-12-02T05:02:09Z,0.93,Walmart scraps,shipping,minimum for subscription service
The best tips and strategies to make sure your online orders arrive in time for the holidays,2020-11-13T18:31:20Z,0.88,strategies,to make,sure your online orders arrive in time for the holidays
Big Tech's stock market reign may finally be about to end,2020-12-01T20:09:39Z,0.96,Big Tech's stock market reign,may be,about to end
Corporate America gave this non-profit almost $2 billion to fight institutional racism and it's already making an impact,2020-11-27T18:28:13Z,1.0,Corporate America,gave,$  billion
Cyber Monday 2020 is a few days away \xe2\x80\x94 here's what you need to know,2020-11-27T15:50:04Z,0.93,Cyber Monday,is,a few days away
Black Friday is different this year. But all is not lost for retailers,2020-11-27T12:59:42Z,0.95,Black Friday,is,different
TikTok owner gets another week to sell its US business,2020-11-26T20:06:07Z,0.9,TikTok owner,gets,another week to sell its US business
"Walmart is restocking the PlayStation 5, Xbox Series S and Series X tonight",2020-11-25T23:53:56Z,0.96,Walmart,is restocking,the PlayStation   Xbox Series S tonight
Nearly 1 million Sunbeam Crock-Pots recalled for burn risks,2020-11-24T22:18:47Z,0.95,Nearly  million Sunbeam CrockPots,recalled,for burn risks
Cash is king: The best cash back credit cards for 2020,2020-09-23T20:07:10Z,0.85,Cash,is,king
A horrific school shooting was the last straw for the CEO of Dick's Sporting Goods,2019-03-10T15:06:11Z,0.94,A horrific school shooting,was,the last straw
Janet Yellen's first battle is already taking shape,2020-11-24T13:20:41Z,0.95,Janet Yellen's first battle,is taking,shape
Corporate America is ready for a Biden presidency,2020-11-23T18:52:19Z,0.95,Corporate America,is,ready for a Biden presidency
"Walmart, Albertsons, Kroger and Whole Foods are adding sneeze guards to checkout lanes",2020-03-25T13:07:11Z,0.93,Kroger,are adding,sneeze guards
Cyber Monday 2020 is one week away \xe2\x80\x94 here's what you need to know,2020-11-23T12:33:12Z,0.94,Cyber Monday,is,one week away
More retailers are closed on Thanksgiving this year,2020-11-22T13:59:29Z,0.92,More retailers,are closed,on Thanksgiving
"As Black Friday approaches, retailers lobby states to stay open",2020-11-21T19:43:49Z,0.89,retailers,lobby,states
Black Friday 2020: Everything you need to know,2020-11-20T14:30:19Z,0.82,Everything,to know,you
Working from home is a boost for a...desktop phone company?,2020-11-19T17:27:35Z,0.93,Working from home,is,a boost for a...desktop phone company
Google and Wyclef Jean team up to help Black-owned businesses get through the holidays,2020-11-19T14:03:56Z,0.94,Black  owned businesses,get,through the holidays
A Dutch grocery giant is buying FreshDirect,2020-11-19T00:13:49Z,0.93,A Dutch grocery giant,is buying,FreshDirect
"Sam's Club offers a quick, contact-free, curbside shopping experience at wholesale prices",2020-11-18T17:51:16Z,0.96,Sam's Club,offers,a quick contactfree curbside shopping experience
"Target had a blowout quarter, but that's not the full story",2020-11-18T17:23:58Z,0.94,Target,had,a blowout quarter
Walmart's Black Friday Deals for Days sale is back with even more bargains,2020-11-12T00:01:00Z,0.92,sale,is,back
Walmart reports shortages of toilet paper and cleaning supplies at some stores,2020-11-17T17:38:24Z,0.92,Walmart,reports,shortages of toilet cleaning supplies at some stores
Small toy stores are worried they won't stay in business after this year,2020-11-14T16:05:54Z,0.9,Small toy stores,are,worried they won't stay in business after this year
Cinnabon is selling its frosting by the pint,2020-11-16T13:04:21Z,0.86,Cinnabon,is selling,its frosting
Walmart will start counting customers again as coronavirus cases reach record levels,2020-11-15T20:03:19Z,0.9,Walmart,will start counting,customers
A wall of money is ready for the post-pandemic economy,2020-11-15T13:53:23Z,0.94,A wall of money,is,ready for the postpandemic economy
TikTok granted two more weeks to reach a deal for US business,2020-11-13T17:43:42Z,0.91,TikTok,granted two more weeks to reach,a deal for US business
Food delivery giant DoorDash files paperwork to go public,2020-11-13T14:34:56Z,0.92,DoorDash,files,paperwork
Shoppers trying to buy new PS5 report glitches on Walmart and Best Buy websites,2020-11-12T21:57:09Z,0.89,Shoppers,trying to buy,new PS report glitches
"The best sales to shop today: Adidas, Instant Pot, Roomba and more",2020-11-12T15:38:47Z,0.91,The best sales,to shop,today more
Trump blew up TikTok and now nobody knows what's going on,2020-11-11T23:18:31Z,0.95,nobody,knows,what 's going on
Exclusive: Elizabeth Warren calls out CEOs for 'weak and meaningless' climate commitments,2020-11-11T17:40:59Z,0.93,Elizabeth Warren,calls out,CEOs for ' meaningless ' climate commitments
TikTok asks court to step in as sale deadline looms,2020-11-11T04:48:26Z,0.95,TikTok,asks,court
Big Tech shouldn't breathe a sigh of relief over Biden,2020-11-10T14:26:53Z,0.94,Big Tech,should n't breathe,a sigh of relief over Biden
"In 16 minutes, Dave Chappelle beautifully, incisively summed up all of 2020 -- and sometimes it hurt",2020-11-08T13:41:09Z,0.94,Dave Chappelle,beautifully incisively summed up,all of
Joe Biden elected president,2020-11-07T00:44:55.298Z,0.93,Joe Biden,elected,president
TikTok exec says she 'misspoke' in hearing about the app censoring Xinjiang content,2020-11-06T15:25:09Z,0.92,the app,censoring,Xinjiang content
Sainsbury's is closing its deli counters as shopping goes online and local,2020-11-05T15:22:24Z,0.87,Sainsbury 's,is closing,its deli counters
Walmart's Black Friday 'Deals for Days' event features some truly incredible bargains,2020-11-05T13:21:49Z,0.96,Walmart's Black Friday 'Deals for Days' event,features,some truly incredible bargains
El Paso is facing its worst Covid-19 outbreak while trying to vote on Election Day,2020-11-04T01:28:55Z,1.0,El Paso,is facing,outbreak
Walmart returns firearms and ammunition to store floors,2020-11-01T22:35:03Z,0.92,Walmart,returns,ammunition
Costco drops Chaokoh coconut milk over allegations of forced monkey labor,2020-10-31T17:59:03Z,0.95,Costco,drops,Chaokoh coconut milk
Here's how stores are changing Black Friday for the pandemic,2020-10-31T13:07:51Z,0.89,stores,are changing,Black Friday
Which iPad is right for you? We break it down,2020-10-30T21:40:20Z,0.88,Which iPad,is,right
Gun stocks fall after Walmart removes firearms and ammo from some stores,2020-10-30T16:19:32Z,0.92,Walmart,removes,firearms
Walmart removes guns and ammo from shelves in some stores in response to Philadelphia protests,2020-10-29T22:35:16Z,0.93,Walmart,removes,ammo
Why Amazon and Reliance are clashing in India over a cash-strapped retail chain,2020-10-29T15:50:46Z,0.93,Reliance,are clashing,in India
Philadelphia puts curfew in place after violence erupts during protests over the fatal police shooting of Walter Wallace Jr.,2020-10-28T07:01:25Z,0.97,Philadelphia,puts,curfew
Philadelphia sees more protests and looting as authorities investigate police shooting of Black man with knife,2020-10-27T12:08:17Z,0.92,Philadelphia,sees,looting
"Jack Ma is making history again with the Ant IPO, and getting even more wealthy while doing it",2020-10-27T06:10:04Z,0.94,Jack Ma,is making,history
Sam's Club is putting robot janitors in all of its stores during the pandemic,2020-10-21T13:08:49Z,0.88,Sam's Club,is putting,robot janitors
Lowe's will deliver your Christmas tree for free this year,2020-10-20T12:14:21Z,0.89,Lowe's,will deliver,your Christmas tree
Soon FedEx won't require boxes and labels when you make some returns,2020-10-20T19:56:45Z,0.92,FedEx,wo n't require,labels
Preorders are open for the iPhone 12 and iPhone 12 Pro,2020-10-13T17:01:43Z,0.91,Preorders,are,open
Battle for online shoppers begins as Indians spend billions ahead of Diwali,2020-10-17T00:34:40Z,0.92,Indians,spend ahead,billions
Online shopping has been turbocharged by the pandemic. There's no going back,2020-10-11T12:53:38Z,0.9,Online shopping,has been turbocharged,by the pandemic
John Lennon's estate partners with TikTok to celebrate the late Beatles' 80th birthday,2020-10-12T16:18:42Z,0.96,John Lennon's estate partners with TikTok,to celebrate,the late Beatles' th birthday
"DeJoy donated nearly $700,000 to Trump's convention, new filings show",2020-10-10T14:15:31Z,0.98,DeJoy donated nearly $ to Trump's convention,show,new filings
Facebook launches #BuyBlack Friday campaign to support Black-owned businesses,2020-10-09T11:16:46Z,0.94,#BuyBlack Friday campaign,to support,Blackowned businesses
3 reasons why holiday toy sales will be huge this year,2020-10-07T17:16:48Z,0.91,holiday toy sales,will be,huge
Why Thanksgiving turkeys will be smaller this year,2020-10-07T17:20:37Z,0.94,Thanksgiving turkeys,will be,smaller
TikTok's US ban is on hold. What comes next?,2020-10-06T02:35:04Z,0.94,TikTok's US ban,is,on hold
US Terrorist Attacks Fast Facts,2013-04-18T22:11:24Z,0.93,US Terrorist,Attacks,Fast Facts
Bed Bath & Beyond gets a lift from people sprucing up their homes in the pandemic,2020-10-01T15:16:11Z,0.95,Bed Bath & Beyond,gets,a lift from people
Best Buy closed down stores in the pandemic. But people kept shopping,2020-09-29T17:28:15Z,0.93,people,kept,shopping
"Judge rules TikTok can avoid a ban in the US, for now",2020-09-27T15:57:01Z,0.94,Judge rules TikTok,can avoid,a ban in the US for now
Trump is stealing China's playbook to deal with TikTok,2020-09-27T00:54:47Z,0.88,Trump,is stealing,China's playbook
Louisville police major relieved of command after reportedly insulting protesters in email to other officers,2020-09-26T01:48:15Z,0.89,Louisville police,relieved,of command
"Pandemic shopping pushes Costco to a record profit, but also raises costs by millions",2020-09-25T13:13:51Z,0.94,Pandemic shopping,pushes,Costco
McDonald's exec: The food industry needs to act now to cut greenhouse gas emissions,2020-09-25T12:19:27Z,0.89,The food industry,needs,to act now to cut greenhouse gas emissions
Costco is missing out on an exploding grocery trend,2020-09-24T12:28:21Z,0.92,Costco,is missing out,on an exploding grocery trend
Walmart is using drones to deliver Covid-19 tests,2020-09-23T16:37:39Z,0.91,Walmart,is using drones to deliver,Covid tests
Walmart has hired half a million people since March. It's not done yet,2020-09-23T04:01:47Z,0.91,Walmart,has hired,half a million people
Chinese state media slams TikTok deal as 'dirty' and 'unpalatable',2020-09-23T10:46:59Z,0.94,Chinese state media,slams,TikTok deal as ' dirty
"Xbox Series X pre-orders begin, and gamers are eager to buy",2020-09-22T20:51:19Z,0.91,gamers,are,eager to buy
TikTok says suicide video was part of 'coordinated attack',2020-09-22T18:45:51Z,0.91,suicide video,was,part of 'coordinated attack
Trump approves TikTok deal. But big questions remain,2020-09-21T12:10:50Z,0.88,Trump,approves,TikTok deal
"Trump approves Oracle, Walmart deal for TikTok",2020-09-21T14:09:21Z,0.88,Trump,approves,Oracle
It's not just groceries. Why clothing is important to Walmart,2020-09-21T04:01:42Z,0.93,clothing,is,important to Walmart
Judge temporarily blocks US WeChat ban,2020-09-20T14:13:08Z,0.97,Judge,blocks,US WeChat ban
Which iPad is right for you? We break it down,2020-09-18T21:01:17Z,0.88,Which iPad,is,right
Paris Hilton reckons with her legacy -- and so should we,2020-09-10T17:50:38Z,0.87,Paris Hilton,reckons,with her legacy
TikTok and Oracle might have a deal. But Trump still needs to sign off,2020-09-17T17:50:44Z,0.92,Oracle,might have,a deal
US billionaires' fortunes have skyrocketed $845 billion since March,2020-09-17T22:06:06Z,1.0,US billionaires ' fortunes,have skyrocketed,$  billion
Amazon's stock is getting beat by a warehouse chain this year. And it's not Costco,2020-09-17T17:58:47Z,0.93,Amazon 's stock,is getting beat,by a warehouse chain
Tropical Storm Sally lashes Alabama and Florida,2020-09-16T00:29:16.237Z,1.0,Tropical Storm Sally,lashes,t.z
Seven-foot robots are stacking shelves in Tokyo convenience stores,2020-09-15T01:10:54Z,0.93,Sevenfoot robots,are stacking,shelves
Walmart+ is taking on Amazon Prime \xe2\x80\x94 here's everything you need to know,2020-09-15T13:48:46Z,0.82,everything,to know,you
"JCPenney could be doomed, even as malls race to save it",2020-09-13T19:02:49Z,0.84,JCPenney,could be doomed,even as malls race to save it
Couple loses almost everything in California wildfire,2020-09-12T21:19:35Z,0.91,Couple,loses,almost everything in California wildfire
New voters in battleground North Carolina provide a critical test for Trump,2020-09-12T13:46:14Z,0.96,New voters in battleground North Carolina,provide,a critical test for Trump
Home Depot to offer two months of Black Friday deals,2020-09-09T19:19:08Z,0.94,Home Depot,to offer,two months of Black Friday deals
Walmart+ is taking on Amazon Prime \xe2\x80\x94 here's everything you need to know,2020-09-10T15:04:05Z,0.82,everything,to know,you
